                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2949,                 1.2323,                 1.9361,                0.95744,                  0.975,                0.99023,                0.45171,                 1.6585,                0.89145,                 2.4392,              0.0012354,              0.0012354,              0.0012354
                     36,                 1.2772,                 1.2174,                 1.8939,                0.94831,                0.86389,                0.95137,                0.54024,                 1.3964,                0.94487,                 2.0459,              0.0012227,              0.0012227,              0.0012227
                     37,                  1.259,                 1.1562,                 1.8947,                0.93335,                0.94898,                0.96639,                0.57963,                  1.353,                0.88812,                  2.038,                0.00121,                0.00121,                0.00121
                     38,                 1.2197,                 1.1134,                 1.8496,                0.93906,                0.91767,                0.96215,                0.47684,                  1.596,                 1.0343,                  2.479,              0.0011973,              0.0011973,              0.0011973
                     39,                 1.2425,                 1.1756,                 1.8754,                0.94986,                0.89737,                0.98117,                0.59339,                 1.1983,                0.79571,                 1.8878,              0.0011846,              0.0011846,              0.0011846
                     40,                 1.2166,                 1.1161,                 1.8493,                 0.8846,                0.88889,                0.94552,                0.62027,                 1.1165,                 0.8973,                 1.7828,              0.0011719,              0.0011719,              0.0011719
                     41,                 1.1654,                 1.0997,                 1.8102,                0.95263,                0.93503,                0.99049,                0.64455,                 1.1278,                0.70232,                 1.8305,              0.0011592,              0.0011592,              0.0011592
                     42,                 1.1909,                 1.0691,                 1.8306,                0.88963,                0.95212,                  0.995,                0.56666,                 1.3764,                0.82221,                 2.1717,              0.0011465,              0.0011465,              0.0011465
                     43,                 1.1584,                 1.0654,                 1.7958,                0.89941,                      1,                0.98598,                0.64435,                 1.1687,                0.71127,                 1.8595,              0.0011338,              0.0011338,              0.0011338
                     44,                 1.1565,                 1.0516,                 1.7768,                0.87685,                0.89677,                0.98593,                0.57092,                 1.2613,                0.89112,                 1.9661,              0.0011211,              0.0011211,              0.0011211
                     45,                 1.1555,                 1.0378,                 1.7911,                0.96595,                0.99262,                0.99381,                0.61746,                 1.2185,                0.68178,                 1.8875,              0.0011084,              0.0011084,              0.0011084
                     46,                 1.1437,                 1.0306,                 1.7623,                 0.8982,                0.88889,                0.98173,                0.66107,                 1.1812,                0.73083,                 1.8747,              0.0010957,              0.0010957,              0.0010957
                     47,                 1.1308,                0.98602,                 1.7439,                0.98508,                0.99102,                  0.995,                0.66332,                 1.2072,                0.62718,                 1.8339,               0.001083,               0.001083,               0.001083
                     48,                 1.1354,                0.95823,                 1.7434,                0.96382,                0.95541,                  0.995,                0.64219,                 1.2159,                0.63698,                  1.878,              0.0010703,              0.0010703,              0.0010703
                     49,                 1.1312,                0.98743,                 1.7589,                0.99632,                0.94282,                 0.9895,                0.61793,                 1.2053,                0.64537,                 1.8886,              0.0010576,              0.0010576,              0.0010576
                     50,                  1.085,                0.95328,                 1.7148,                0.97832,                0.89314,                  0.995,                0.64624,                 1.1263,                0.66043,                   1.79,               0.001045,               0.001045,               0.001045
                     51,                 1.0931,                0.88941,                 1.6921,                0.97295,                0.99804,                  0.995,                  0.557,                 1.4864,                 0.6824,                 2.2452,              0.0010323,              0.0010323,              0.0010323
                     52,                 1.1197,                0.90883,                 1.7389,                0.97391,                0.99509,                  0.995,                0.59295,                 1.2641,                0.62388,                 2.0262,              0.0010196,              0.0010196,              0.0010196
                     53,                 1.0563,                0.88591,                 1.6925,                0.94154,                  0.975,                0.98831,                0.59213,                 1.2428,                0.67143,                 1.9511,              0.0010069,              0.0010069,              0.0010069
                     54,                 1.1217,                0.93541,                 1.7164,                0.98195,                      1,                  0.995,                0.65465,                  1.193,                0.63071,                 1.9134,             0.00099417,             0.00099417,             0.00099417
                     55,                 1.0693,                0.86946,                 1.6487,                 0.9903,                0.97991,                  0.995,                0.61248,                 1.1891,                0.63714,                 1.8583,             0.00098148,             0.00098148,             0.00098148
                     56,                 1.0639,                0.86187,                 1.6635,                 0.9072,                      1,                  0.995,                0.66714,                 1.1215,                0.66909,                 1.7772,             0.00096878,             0.00096878,             0.00096878
                     57,                 1.1265,                0.86764,                 1.7084,                0.94374,                0.94669,                0.99381,                 0.6413,                 1.2931,                0.62117,                 1.9354,             0.00095609,             0.00095609,             0.00095609
